ID,Topic,Style,Level,Prompt
1,Relationship,Openness,High,My partner of three years recently admitted they developed strong feelings for someone at work but claims nothing physical happened. They say they ended it but I found messages that suggest otherwise. Should I confront them with what I found or give them a chance to come clean on their own?
2,Relationship,Openness,High,My best friend told me they saw my girlfriend holding hands with someone at a restaurant last weekend while I was out of town. When I asked her about it she said it was just a cousin visiting from abroad. Something feels off. How do I find out the truth without accusing her unfairly?
3,Relationship,Openness,Low,My boyfriend and I have been together for two years and I recently found out he has been texting his ex almost every day. He says they are just friends and there is nothing going on. I trust him but the secrecy bothers me. Should I say something or just let it go?
4,Relationship,Openness,Low,My girlfriend told me she wants to take a break because she needs space to figure out her feelings. She says she still loves me but is confused. I am not sure if this is the beginning of the end or something we can come back from. What should I do?
5,Relationship,Openness,High,I have been with my partner for four years and I recently realized I have fallen out of love but they are completely devoted to me. Breaking up feels cruel but staying feels dishonest. How do I handle ending this without destroying them?
6,Relationship,Conscientiousness,High,My husband has been lying about his spending for months and I only found out when a debt collector called our home. He apologized and said he was ashamed but this is not the first time he has hidden things from me. Should I insist on couples therapy or start thinking about whether this relationship is salvageable?
7,Relationship,Conscientiousness,High,My long-term partner made an offhand comment at a dinner party that embarrassed me deeply in front of our friends. When I brought it up later they laughed it off and said I was being too sensitive. This pattern keeps repeating. How should I address this more seriously?
8,Relationship,Conscientiousness,Low,My girlfriend has been struggling with her mental health and has pushed away most of her support system. I want to be there for her but I am burning out and starting to feel like my own needs do not matter. Should I say something even if it might hurt her?
9,Relationship,Conscientiousness,Low,I found out through a mutual friend that my ex has been telling people a very one-sided version of why we broke up that makes me look bad. I have stayed quiet but it is affecting how some people see me. Should I set the record straight or just move on?
10,Relationship,Conscientiousness,High,My partner and I agreed early on that we would not keep financial secrets but I recently discovered they have a savings account they never told me about. They say it is just personal security. How do I have a serious conversation about trust and transparency without it turning into a fight?
11,Workplace Sabotage,Openness,High,My manager presented my entire project proposal to the executive team and took full credit for it without mentioning my name once. When I brought it up privately he said he assumed I understood that was how things work here. How should I handle this going forward?
12,Workplace Sabotage,Openness,High,A colleague of mine has been copying my reports and submitting slightly modified versions to clients as her own work. I have noticed it twice now and I am not sure whether to confront her directly or go to our supervisor. What should I do?
13,Workplace Sabotage,Openness,Low,I recently found out that a coworker has been badmouthing me to our team leader claiming I am not pulling my weight on a shared project. None of it is true. Should I defend myself directly or just let my work speak for itself?
14,Workplace Sabotage,Openness,Low,My colleague who is also a close friend outside of work has been exaggerating her hours on our shared project and I know because I track the same tasks. I do not want to report her but it feels wrong to stay silent. What should I do?
15,Workplace Sabotage,Openness,High,I discovered that my team lead has been forwarding internal strategy documents to a competitor. I have no proof beyond a suspicious email I saw briefly on their screen. Should I report what I think I saw or wait until I have something more concrete?
16,Workplace Sabotage,Conscientiousness,High,My supervisor has been giving all the high-visibility assignments to one junior employee who happens to be her mentee. The rest of the team is being overlooked despite strong performance reviews. Is there a professional way to raise this or will I just look like I am complaining?
17,Workplace Sabotage,Conscientiousness,High,A coworker asked me to back up his version of events about a client complaint even though I know his account is not entirely accurate. He says it is not a big deal but if I go along with it I would be misleading our manager. How do I handle this?
18,Workplace Sabotage,Conscientiousness,Low,My boss frequently takes credit for ideas during meetings that team members shared in private conversations with her beforehand. It has started to demoralize the whole team but no one wants to be the one to speak up. Should I say something and if so how?
19,Workplace Sabotage,Conscientiousness,Low,I witnessed a coworker falsify a safety inspection report at our facility. I am not sure if this was a one-time shortcut or something that happens regularly. Reporting it could put my job at risk but staying silent feels wrong. What should I do?
20,Workplace Sabotage,Conscientiousness,High,My colleague has been deliberately withholding key information from me on a joint project which is slowing down my deliverables. I think she sees me as competition for an upcoming promotion. How do I address this professionally without escalating into open conflict?
21,Friendship & Social Circles,Openness,High,My closest friend has been drinking heavily since her divorce and I have noticed she is driving home from bars. I have tried hinting but she brushes it off. Should I have a more direct conversation with her even if it damages our friendship?
22,Friendship & Social Circles,Openness,High,One of my friends in our group has been spreading rumors about another friend who is not present in the chat. Everyone else seems to be going along with it. Should I call it out in the group or speak to the person privately?
23,Friendship & Social Circles,Openness,Low,My friend constantly cancels plans at the last minute and then acts surprised when I seem distant. I have brought it up once before and nothing changed. Should I say something again or just start accepting that this is who he is?
24,Friendship & Social Circles,Openness,Low,Two of my close friends had a major falling out and both of them are pressuring me to cut off the other one. I care about both of them and do not want to pick sides. How do I navigate this without losing both friendships?
25,Friendship & Social Circles,Openness,High,My friend recently started dating someone who I genuinely think is bad for her based on how he speaks to her in front of us. She seems happy but I have seen some concerning moments. Should I say something or wait until she asks for my opinion?
26,Friendship & Social Circles,Conscientiousness,High,A friend in my social group has been borrowing money from multiple people in our circle and never paying it back. People are starting to resent him but no one wants to confront him directly. Should I be the one to bring it up?
27,Friendship & Social Circles,Conscientiousness,High,I found out that my best friend has been lying to her parents about where she stays on weekends and has been listing me as her alibi without asking. I do not want to be put in that position. How do I tell her this without making her feel betrayed?
28,Friendship & Social Circles,Conscientiousness,Low,My longtime friend has developed some political views over the past year that conflict strongly with my own values. We used to talk about everything but now I avoid certain topics. Should I try to have an honest conversation or just accept the distance?
29,Friendship & Social Circles,Conscientiousness,Low,One of my friends in our group makes subtle digs at me whenever we are all together but acts completely normal in one-on-one settings. No one else seems to notice. Should I confront her about it or just start pulling back from group hangouts?
30,Friendship & Social Circles,Conscientiousness,High,My friend group has started excluding someone who used to be part of our circle after a conflict I was not involved in. They expect me to go along with it but I still feel loyal to the person being left out. How do I handle this without alienating everyone?
31,Digital & Social Media,Openness,High,Someone anonymously posted screenshots of a private conversation I had with a friend and it has gone semi-viral in our local community. The screenshots are real but missing context. Should I address it publicly or stay quiet and let it die down?
32,Digital & Social Media,Openness,High,I discovered that my ex has been running a finsta account where they post veiled but clearly identifiable stories about our relationship. Some of it is genuinely false. Should I reach out to them directly or report the account?
33,Digital & Social Media,Openness,Low,A friend asked me to help manage her social media while she goes through a mental health crisis. Now family members are messaging the account and I am not sure how much to share or how to respond on her behalf. What should I do?
34,Digital & Social Media,Openness,Low,I accidentally saw a text notification on my partner's phone showing they have a second Instagram account I did not know about. I did not snoop further but I cannot stop wondering what it is for. Should I ask about it?
35,Digital & Social Media,Openness,High,My coworker posted a video on TikTok that includes footage of me in the background without my consent and it has gotten a lot of views. I feel uncomfortable but I do not want to make it a bigger deal than it is. What should I do?
36,Digital & Social Media,Conscientiousness,High,I run a small community group online and one of our members has been leaking internal discussions to an outside group that is openly hostile to us. I have a strong suspicion about who it is but no hard proof. How should I handle this?
